epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,489.053,1.04912,0.54206,1.07445,0.93288,0.97895,0.98842,0.7603,0.90244,0.49114,0.98976,0.0009506,0.0009506,0.0009506
55,497.87,1.05775,0.54944,1.07265,0.97327,0.96842,0.99156,0.7698,0.87154,0.4587,0.97102,0.0009308,0.0009308,0.0009308
56,506.727,1.04031,0.53837,1.06826,0.97869,0.97895,0.99114,0.77214,0.83551,0.44904,0.95799,0.000911,0.000911,0.000911
57,515.721,1.03888,0.53547,1.06834,1,0.95477,0.99091,0.76922,0.85063,0.46096,0.97591,0.0008912,0.0008912,0.0008912
58,524.569,1.01718,0.53221,1.06184,0.97901,0.9819,0.99295,0.76113,0.89131,0.4319,0.99763,0.0008714,0.0008714,0.0008714
59,533.547,1.03606,0.53669,1.0701,0.98677,0.98947,0.99351,0.77253,0.88552,0.43369,0.98746,0.0008516,0.0008516,0.0008516
60,542.688,1.02262,0.5215,1.0564,0.97862,0.96359,0.9897,0.78307,0.85472,0.45611,0.96686,0.0008318,0.0008318,0.0008318
61,551.658,1.02134,0.52583,1.05681,0.98436,0.96842,0.99198,0.77643,0.8633,0.44122,0.97045,0.000812,0.000812,0.000812
62,560.802,1.00523,0.51075,1.04689,0.97602,0.97895,0.99225,0.75825,0.86326,0.4311,0.97037,0.0007922,0.0007922,0.0007922
63,569.708,1.00021,0.50845,1.05178,0.99795,0.96842,0.98712,0.76561,0.88481,0.45549,0.99421,0.0007724,0.0007724,0.0007724
64,578.679,0.98716,0.51551,1.04927,0.98837,0.96842,0.98361,0.78324,0.85565,0.44592,0.96951,0.0007526,0.0007526,0.0007526
65,587.585,0.99375,0.51818,1.04533,0.97526,0.96842,0.98754,0.78226,0.86733,0.43969,0.97749,0.0007328,0.0007328,0.0007328
66,596.659,0.96996,0.49796,1.02826,0.97892,0.97766,0.99054,0.76365,0.86801,0.44185,0.9723,0.000713,0.000713,0.000713
67,605.472,0.97839,0.50233,1.02657,0.97855,0.9605,0.99218,0.77463,0.81909,0.41512,0.96546,0.0006932,0.0006932,0.0006932
68,614.354,0.98993,0.49766,1.04041,0.98934,0.97718,0.99192,0.75629,0.9025,0.43214,0.97987,0.0006734,0.0006734,0.0006734
69,623.286,0.96996,0.49799,1.02788,0.97869,0.96687,0.99255,0.78261,0.83833,0.40805,0.96622,0.0006536,0.0006536,0.0006536
70,632.367,0.95952,0.48804,1.024,0.95891,0.98272,0.99221,0.76532,0.86826,0.4208,0.98135,0.0006338,0.0006338,0.0006338
71,641.439,0.95531,0.49699,1.01983,0.94398,0.96842,0.98843,0.77548,0.84304,0.42108,0.96581,0.000614,0.000614,0.000614
72,650.346,0.94345,0.49411,1.0144,0.97525,0.97895,0.98975,0.77726,0.83245,0.41733,0.97157,0.0005942,0.0005942,0.0005942
73,659.228,0.95159,0.47803,1.02613,0.97891,0.97729,0.98439,0.76236,0.85191,0.44169,0.9785,0.0005744,0.0005744,0.0005744
74,668.261,0.93679,0.47911,1.01699,0.99012,0.96842,0.98852,0.7821,0.82626,0.42598,0.97141,0.0005546,0.0005546,0.0005546
75,677.357,0.8965,0.47031,1.00065,0.98961,0.96842,0.98042,0.78136,0.8133,0.44887,0.96007,0.0005348,0.0005348,0.0005348
76,686.505,0.93045,0.47712,1.00829,0.97686,0.96842,0.98832,0.7842,0.80962,0.42882,0.95993,0.000515,0.000515,0.000515
77,695.376,0.89468,0.46645,0.99988,0.96897,0.98618,0.99253,0.78475,0.81794,0.39917,0.9647,0.0004952,0.0004952,0.0004952
78,704.254,0.90744,0.46909,0.99978,1,0.97894,0.99355,0.7886,0.81079,0.39218,0.95224,0.0004754,0.0004754,0.0004754
79,713.159,0.90524,0.45898,0.99827,0.98326,0.96842,0.99236,0.78733,0.79357,0.39786,0.95064,0.0004556,0.0004556,0.0004556
80,722.257,0.88481,0.46647,0.99374,0.98848,0.96842,0.98799,0.78056,0.81512,0.40596,0.96386,0.0004358,0.0004358,0.0004358
81,731.062,0.9101,0.46045,1.00432,0.98814,0.96842,0.98636,0.78679,0.79033,0.38951,0.95541,0.000416,0.000416,0.000416
82,739.98,0.88394,0.45703,0.99027,0.9983,0.96842,0.98788,0.7972,0.7893,0.40749,0.94848,0.0003962,0.0003962,0.0003962
83,748.866,0.88079,0.46787,0.98355,0.99881,0.96842,0.9875,0.77596,0.82323,0.42042,0.95006,0.0003764,0.0003764,0.0003764
84,758.038,0.87486,0.44936,0.98534,1,0.96705,0.99231,0.78963,0.80981,0.40607,0.95415,0.0003566,0.0003566,0.0003566
85,766.873,0.86902,0.44784,0.98298,0.98054,0.96842,0.99217,0.7977,0.7929,0.38608,0.95019,0.0003368,0.0003368,0.0003368
86,775.844,0.85609,0.4459,0.96917,0.99797,0.96842,0.98654,0.78699,0.82813,0.40837,0.9674,0.000317,0.000317,0.000317
87,784.894,0.86276,0.44446,0.97998,0.99856,0.96842,0.9875,0.79211,0.80714,0.41149,0.9651,0.0002972,0.0002972,0.0002972
88,793.75,0.85849,0.44285,0.97454,1,0.97781,0.98797,0.78049,0.80911,0.41205,0.95765,0.0002774,0.0002774,0.0002774
89,802.338,0.83901,0.44099,0.97803,1,0.97834,0.98998,0.7914,0.78962,0.37853,0.95532,0.0002576,0.0002576,0.0002576
90,811.076,0.84238,0.43609,0.97012,0.96869,1,0.99385,0.80091,0.79033,0.37271,0.95076,0.0002378,0.0002378,0.0002378
91,821.309,0.79598,0.39776,0.94504,0.98936,0.97854,0.98792,0.79223,0.80023,0.39254,0.97028,0.000218,0.000218,0.000218
92,830.375,0.78826,0.3834,0.94207,0.98936,0.97842,0.98873,0.7866,0.82459,0.39274,0.96916,0.0001982,0.0001982,0.0001982
93,839.314,0.76854,0.3829,0.93388,0.98935,0.97817,0.99038,0.78094,0.82468,0.3858,0.95588,0.0001784,0.0001784,0.0001784
94,848.311,0.77993,0.3789,0.93058,0.98936,0.97854,0.98895,0.79551,0.79848,0.37581,0.96347,0.0001586,0.0001586,0.0001586
95,857.069,0.75381,0.37113,0.92705,0.99451,0.96842,0.98916,0.7934,0.78389,0.39097,0.94754,0.0001388,0.0001388,0.0001388
96,865.883,0.74624,0.37064,0.91662,0.99753,0.96842,0.98885,0.80184,0.7896,0.38238,0.95398,0.000119,0.000119,0.000119
97,874.709,0.74205,0.36752,0.92088,0.99906,0.96842,0.98918,0.79005,0.81121,0.40177,0.95879,9.92e-05,9.92e-05,9.92e-05
98,883.573,0.73689,0.3652,0.92491,0.99887,0.96842,0.9896,0.79018,0.79042,0.40061,0.95472,7.94e-05,7.94e-05,7.94e-05
99,892.414,0.72954,0.36301,0.91651,0.99861,0.96842,0.98976,0.79008,0.80209,0.38358,0.95382,5.96e-05,5.96e-05,5.96e-05
100,901.326,0.72195,0.35717,0.91453,0.99863,0.96842,0.98976,0.79394,0.79215,0.38064,0.94811,3.98e-05,3.98e-05,3.98e-05
