Model,Clutter_Level,Image_Name,Num_Detections,Avg_Confidence,TP,FP,FN,Precision,Recall,F1_Score,Avg_IOU
YOLOv8,Level_2,L2_19.png,1,0.6564341187477112,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_2,L2_19.png,1,0.8448002338409424,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_2,L2_20.png,1,0.565075695514679,0,1,1,0.0,0.0,0.0,0.0
YOLOv11,Level_2,L2_20.png,1,0.8352392911911011,0,1,1,0.0,0.0,0.0,0.0
YOLOv8,Level_2,L2_21.png,2,0.6656582355499268,1,1,0,0.5,1.0,0.6666666666666666,0.824384873839012
YOLOv11,Level_2,L2_21.png,2,0.7733275890350342,1,1,0,0.5,1.0,0.6666666666666666,0.8231213956101914
YOLOv8,Level_2,L2_22.png,1,0.5776344537734985,1,0,0,1.0,1.0,1.0,0.8591999141259481
YOLOv11,Level_2,L2_22.png,2,0.7750476598739624,1,1,0,0.5,1.0,0.6666666666666666,0.9014481271196562
YOLOv8,Level_2,L2_23.png,1,0.7439786791801453,1,0,0,1.0,1.0,1.0,0.7874539626046577
YOLOv11,Level_2,L2_23.png,2,0.8114290237426758,1,1,0,0.5,1.0,0.6666666666666666,0.7055182344381499
YOLOv8,Level_2,L2_24.png,1,0.8177683353424072,1,0,0,1.0,1.0,1.0,0.7180882160796517
YOLOv11,Level_2,L2_24.png,2,0.7690858840942383,1,1,0,0.5,1.0,0.6666666666666666,0.709960699922601
YOLOv8,Level_2,L2_25.png,1,0.31903019547462463,1,0,0,1.0,1.0,1.0,0.7459008267963311
YOLOv11,Level_2,L2_25.png,2,0.6278252601623535,1,1,0,0.5,1.0,0.6666666666666666,0.6311774267617718
YOLOv8,Level_3,L3_1.png,3,0.7677307724952698,1,2,0,0.3333333333333333,1.0,0.5,0.9648725524668077
YOLOv11,Level_3,L3_1.png,1,0.85655677318573,1,0,0,1.0,1.0,1.0,0.886562534831098
YOLOv8,Level_3,L3_2.png,2,0.6858941912651062,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_2.png,2,0.49931997060775757,0,2,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_3.png,4,0.7572599053382874,1,3,0,0.25,1.0,0.4,0.8139965184859108
YOLOv11,Level_3,L3_3.png,2,0.8430469036102295,1,1,0,0.5,1.0,0.6666666666666666,0.6164035733598462
YOLOv8,Level_3,L3_4.png,3,0.7019017338752747,1,2,0,0.3333333333333333,1.0,0.5,0.6791225001954299
YOLOv11,Level_3,L3_4.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_5.png,3,0.6250409483909607,1,2,0,0.3333333333333333,1.0,0.5,0.8726065046425744
YOLOv11,Level_3,L3_5.png,1,0.8695612549781799,1,0,0,1.0,1.0,1.0,0.8101626834597508
YOLOv8,Level_3,L3_6.png,2,0.7721136212348938,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_6.png,0,0.0,0,0,1,0.0,0.0,0.0,0.0
YOLOv8,Level_3,L3_7.png,2,0.6978532671928406,0,2,1,0.0,0.0,0.0,0.0
YOLOv11,Level_3,L3_7.png,1,0.7972005605697632,1,0,0,1.0,1.0,1.0,0.7525771875293361
YOLOv8,Level_3,L3_8.png,2,0.8200204372406006,1,1,0,0.5,1.0,0.6666666666666666,0.8837977786813265
YOLOv11,Level_3,L3_8.png,1,0.8486542701721191,1,0,0,1.0,1.0,1.0,0.8543114898050856
